date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8
2026-08-30,Sheriff Tiraspol,0.556,0.3279,0.1029,0.0109,0.0022,0.0001,0.0,0.0
2026-08-30,Zimbru,0.3576,0.4408,0.1814,0.0178,0.0021,0.0002,0.0001,0.0
2026-08-30,Petrocub,0.0838,0.2117,0.5512,0.1211,0.0257,0.0053,0.0012,0.0
2026-08-30,Dacia-Buiucani,0.0006,0.0025,0.0358,0.2366,0.3459,0.2628,0.0951,0.0207
2026-08-30,Politehnica UTM,0.0,0.0009,0.0194,0.1345,0.2885,0.355,0.1575,0.0442
2026-08-30,Milsami Orhei,0.002,0.016,0.1078,0.4542,0.246,0.1217,0.0417,0.0106
2026-08-30,Sireți,0.0,0.0001,0.0006,0.01,0.038,0.1204,0.358,0.4729
2026-08-30,CSF Bălți,0.0,0.0001,0.0009,0.0149,0.0516,0.1345,0.3464,0.4516
2026-08-31,Sheriff Tiraspol,0.5434,0.3276,0.1177,0.0107,0.0006,0.0,0.0,0.0
2026-08-31,Zimbru,0.3472,0.418,0.2177,0.015,0.0019,0.0002,0.0,0.0
2026-08-31,Petrocub,0.1077,0.2422,0.5552,0.0787,0.0139,0.002,0.0003,0.0
2026-08-31,Dacia-Buiucani,0.0003,0.0029,0.0247,0.248,0.3559,0.2689,0.0816,0.0177
2026-08-31,Politehnica UTM,0.0001,0.0006,0.0136,0.1682,0.2707,0.3595,0.1487,0.0386
2026-08-31,Milsami Orhei,0.0013,0.0087,0.07,0.4586,0.2812,0.1343,0.0371,0.0088
2026-08-31,Sireți,0.0,0.0,0.0005,0.0111,0.0364,0.1174,0.3931,0.4415
2026-08-31,CSF Bălți,0.0,0.0,0.0006,0.0097,0.0394,0.1177,0.3392,0.4934
2026-09-01,Sheriff Tiraspol,0.5165,0.339,0.1319,0.0116,0.0009,0.0001,0.0,0.0
2026-09-01,Zimbru,0.3665,0.4098,0.2115,0.0106,0.0014,0.0002,0.0,0.0
2026-09-01,Petrocub,0.1152,0.2398,0.5512,0.079,0.013,0.0017,0.0001,0.0
2026-09-01,Dacia-Buiucani,0.0004,0.0017,0.0261,0.2495,0.3546,0.2648,0.0875,0.0154
2026-09-01,Politehnica UTM,0.0001,0.0013,0.0131,0.1646,0.2758,0.3562,0.1484,0.0405
2026-09-01,Milsami Orhei,0.0013,0.0084,0.0651,0.4616,0.27,0.1398,0.0444,0.0094
2026-09-01,Sireți,0.0,0.0,0.0009,0.0128,0.0424,0.121,0.3838,0.4391
2026-09-01,CSF Bălți,0.0,0.0,0.0002,0.0103,0.0419,0.1162,0.3358,0.4956
2026-09-02,Sheriff Tiraspol,0.4996,0.3486,0.1415,0.0091,0.0012,0.0,0.0,0.0
2026-09-02,Zimbru,0.3825,0.3971,0.2049,0.0144,0.0011,0.0,0.0,0.0
2026-09-02,Petrocub,0.1166,0.2439,0.5482,0.0751,0.0135,0.0024,0.0003,0.0
2026-09-02,Dacia-Buiucani,0.0005,0.0023,0.0258,0.2481,0.353,0.2711,0.0807,0.0185
2026-09-02,Politehnica UTM,0.0001,0.0009,0.0125,0.1704,0.2724,0.3542,0.1501,0.0394
2026-09-02,Milsami Orhei,0.0007,0.0072,0.0667,0.4588,0.2763,0.1359,0.0452,0.0092
2026-09-02,Sireți,0.0,0.0,0.0001,0.0126,0.0426,0.122,0.3858,0.4369
2026-09-02,CSF Bălți,0.0,0.0,0.0003,0.0115,0.0399,0.1144,0.3379,0.496
